feature,gain
rmean4,502673726.9289236
rmax4,98993720.54702473
lag1,96850393.71965122
rmean13,18928228.78701973
expmean,8784790.589252472
weeks_since_demand,6281628.793428421
price,3922597.0036258698
month,2520977.1519031525
lag52,2129664.299887657
price_ratio,1974682.9034204483
dept_id,1926216.656472206
rstd4,1689615.4492797852
store_id,1658707.5293798447
lag26,1537216.4034395218
lag8,1472527.218662262
snap,1420485.6382055283
lag2,1416275.6905136108
lag4,1308597.2813177109
lag13,1268296.8856143951
woy_cos,1138276.6772909164
woy_sin,1054567.495932579
lag3,971401.8953466415
n_events,432878.87490940094
cat_id,365346.9794101715
state_id,129288.34128570557
