feature,gain
rmean13,61023345.2984066
rmean4,45899378.930727005
month,15511560.984399796
expmean,14188479.31314373
lag1,8516696.994680405
price,8032072.463145256
woy_sin,7937516.55029583
rmax4,7373805.432479858
woy_cos,6346776.464639664
lag4,5167302.422470093
lag2,4598602.154150009
lag13,4447765.241846085
price_ratio,4360935.220628738
lag8,4261891.941915512
lag3,4248392.141532898
rstd4,3861499.0561494827
lag26,3475932.4468402863
weeks_since_demand,3421423.875383377
lag52,1782849.6455392838
country,550201.369468689
