decile,mean_oos_demand,Naive,SMA,SES,Croston,SBA,TSB,ADIDA,MAPA,LightGBM (global)
1,0.581,19.0,20.7,2.8,10.1,17.4,6.6,8.2,6.8,8.4
2,1.224,7.4,12.2,3.5,13.1,23.4,8.0,5.6,6.2,20.5
3,1.887,7.1,9.9,3.6,11.7,20.0,6.3,6.7,6.2,28.6
4,2.678,6.5,8.7,3.0,9.9,17.4,5.9,6.2,6.7,35.6
5,3.673,5.8,8.1,2.8,9.3,15.8,5.2,6.1,7.5,39.3
6,4.984,6.2,8.3,3.0,6.5,14.6,3.9,5.7,9.8,42.0
7,6.813,5.9,7.2,2.8,6.4,13.2,4.1,4.9,9.2,46.4
8,9.649,6.2,7.7,2.6,4.9,11.7,3.6,5.1,12.6,45.6
9,15.482,6.0,7.7,3.2,4.2,9.9,3.8,4.2,12.7,48.3
10,48.444,10.1,9.5,3.2,3.9,7.5,3.3,3.8,11.2,47.6
