feature,gain
rmean4,502073292.25725365
rmax4,99001569.12478828
lag1,94958000.6587553
rmean13,18937545.391764164
expmean,8922322.76678133
weeks_since_demand,6338573.0299806595
price,4115211.186855793
month,2705416.940903187
lag52,2374517.7493491173
dept_id,2034252.213657856
price_ratio,1866692.659509182
store_id,1852838.912065506
rstd4,1837396.9725775719
lag26,1756564.4582242966
lag8,1632908.0195560455
lag2,1551502.1371378899
snap,1498480.850218773
lag4,1452705.039252758
lag13,1418447.3258757591
woy_cos,1195112.5218997002
lag3,1077432.981262207
woy_sin,1062251.2313423157
n_events,484815.9554567337
cat_id,414643.0474829674
state_id,159573.98008728027
