decile,mean_oos_demand,Naive,SMA,SES,Croston,SBA,TSB,ADIDA,MAPA,LightGBM (global)
1,0.0,41.7,38.2,5.5,0.0,0.0,1.7,6.7,6.1,0.0
2,0.0,42.2,40.1,5.0,0.0,0.2,1.6,5.9,5.1,0.0
3,0.0,41.6,39.0,6.0,0.0,0.0,1.2,6.5,5.5,0.2
4,0.174,31.0,28.9,2.0,0.9,10.3,1.8,5.2,18.7,1.2
5,1.113,14.7,18.9,2.8,5.8,21.0,6.8,5.6,14.7,9.6
6,3.825,14.5,16.8,3.7,6.3,27.6,4.0,8.4,12.4,6.3
7,10.61,8.9,14.2,3.1,6.6,24.2,5.5,8.5,15.4,13.5
8,25.93,7.2,12.1,4.3,6.3,20.3,8.6,9.9,12.1,18.9
9,58.82,5.8,12.1,4.1,6.9,21.0,6.2,9.4,12.4,22.0
10,211.032,7.5,15.9,7.1,5.2,13.1,6.7,10.0,9.8,24.9
