method,tier,overall,Smooth,Erratic,Intermittent,Lumpy
Naive,classical,0.87,1.14,0.913,1.089,0.794
SMA,classical,0.792,0.969,0.791,1.023,0.737
SES,classical,0.761,0.919,0.746,0.942,0.723
Croston,classical,1.055,0.964,0.794,1.302,1.122
SBA,classical,1.022,0.936,0.768,1.292,1.081
TSB,classical,0.768,0.949,0.765,0.88,0.739
ADIDA,classical,0.769,0.926,0.752,0.946,0.732
MAPA,classical,0.766,0.926,0.751,0.912,0.735
LightGBM,trained,0.801,0.982,0.767,1.088,0.748
NHITS,trained,0.654,0.843,0.699,0.691,0.62
DeepAR,trained,0.698,0.835,0.715,0.685,0.687
Chronos-Bolt-Small,zero-shot,0.669,0.847,0.697,0.706,0.642
Chronos-Bolt-Base,zero-shot,0.665,0.843,0.698,0.703,0.636
TimesFM-200M,zero-shot,0.688,0.857,0.701,0.766,0.659
