feature,gain
rmean13,59416524.11152077
rmean4,46449758.071372986
month,14385915.529930115
expmean,10635980.323041916
price,8141455.059782028
lag1,7822751.947340965
woy_sin,7296135.580293655
rmax4,7209060.601448059
woy_cos,6925963.584280014
lag4,5138229.676338196
lag2,4740267.41596508
lag13,4503721.900875092
price_ratio,4318956.318286896
lag8,4051173.176553726
lag3,4024750.876012802
rstd4,3916847.3952436447
weeks_since_demand,3532889.283054352
lag26,3473452.4968509674
lag52,1810712.791727066
country,902367.6944408417
