feature,gain
price_ratio,43193507.413105965
price,40942714.85405445
rmean13,37184915.89616203
rmean4,36818692.41587925
expmean,7297787.250127792
month,4581067.077307701
price_med,3598306.97487545
lag1,3389119.670153618
lag4,2781689.0050754547
lag13,2320177.783721924
woy_sin,2305708.9700450897
lag8,2119317.0992746353
rmax4,2082947.1581850052
lag2,2069634.8394594193
lag3,1997182.9187898636
rstd4,1851884.944785118
lag26,1764816.9087219238
woy_cos,1586748.180961609
lag52,1151284.7314796448
weeks_since_demand,191002.2519712448
country,130539.31266021729
